iter	RMSE
0	0.312450825
1	0.3118247081
2	0.3112407772
3	0.3107507011
4	0.3101201217
5	0.3095416264
6	0.3089653523
7	0.3083834523
8	0.3077594746
9	0.3072465422
10	0.3066701966
11	0.3060965406
12	0.3055255641
13	0.3049101433
14	0.3043013751
15	0.3036892545
16	0.3030832967
17	0.3025059142
18	0.3019449205
19	0.3013396073
20	0.3007361619
21	0.3001345773
22	0.299634353
23	0.2990356217
24	0.2984387341
25	0.2979413362
26	0.2973472772
27	0.2968014583
28	0.2962581962
29	0.2957174813
30	0.2951304981
31	0.2945453147
32	0.2939619241
33	0.2934289279
34	0.2928984361
35	0.2923202511
36	0.2917438323
37	0.2913044501
38	0.2907818426
39	0.2902923564
40	0.289745485
41	0.2892625758
42	0.2887185511
43	0.2881521288
44	0.2876703728
45	0.2871568567
46	0.2866782619
47	0.2861174193
48	0.2856088102
49	0.2850431636
50	0.2845092829
51	0.2839545873
52	0.2834784646
53	0.2829265875
54	0.2823668443
55	0.2818178762
56	0.2813207651
57	0.2809007143
58	0.2803560404
59	0.2798130115
60	0.2792716216
61	0.2788061689
62	0.2782673115
63	0.2777300783
64	0.2771944634
65	0.2767116468
66	0.2761791783
67	0.2757001734
68	0.2752976599
69	0.2747694275
70	0.274227862
71	0.2737023932
72	0.2731784989
73	0.2727237311
74	0.2722554241
75	0.271801665
76	0.2713494734
77	0.2708316183
78	0.2703153114
79	0.269800547
80	0.2692873195
81	0.2688477168
82	0.2683368508
83	0.2678275081
84	0.2673831513
85	0.2669288187
86	0.2664042589
87	0.2659625243
88	0.2655192534
89	0.2650767213
90	0.2646432296
91	0.2641428154
92	0.2637113717
93	0.2632661557
94	0.2628366601
95	0.2623945822
96	0.2619572579
97	0.2614641781
98	0.2610384348
99	0.2605261572
100	0.2600367309
101	0.259613817
102	0.2591849782
103	0.258699075
104	0.2582146096
105	0.2577847583
106	0.2573551171
107	0.2568742365
108	0.2564507093
109	0.2560352768
110	0.2556085514
111	0.2551873265
112	0.2546872932
113	0.2542676542
114	0.2538562219
115	0.2534381661
116	0.2529665144
117	0.252549182
118	0.2520802275
119	0.2516656901
120	0.2512462473
121	0.2507920752
122	0.2503012476
123	0.2498642674
124	0.2494016791
125	0.2489404487
126	0.2484805713
127	0.2480220421
128	0.2476179406
129	0.2471343052
130	0.2466793867
131	0.2462794011
132	0.2458270575
133	0.2454242782
134	0.2450152377
135	0.2445658647
136	0.2441717306
137	0.2437248936
138	0.2433313418
139	0.2428866808
140	0.2424972721
141	0.2420551138
142	0.2416516886
143	0.2412659934
144	0.2408836047
145	0.240482132
146	0.2400448686
147	0.2396088742
148	0.2392179386
149	0.2387840717
150	0.2384046311
151	0.2380259964
152	0.2375953081
153	0.2372205368
154	0.236792024
155	0.2363647514
156	0.2359387147
157	0.2355454835
158	0.2350874586
159	0.2346642929
160	0.2342954542
161	0.2338402561
162	0.2334203712
163	0.2330088423
164	0.2326443906
165	0.2322279834
166	0.2317773797
167	0.2313698588
168	0.231009739
169	0.2305976772
170	0.2301867971
171	0.2297770946
172	0.2293430296
173	0.2288988111
174	0.2285173131
175	0.2281112073
176	0.2277310219
177	0.2273738161
178	0.2270228705
179	0.2266205667
180	0.2262194116
181	0.2258655421
182	0.225466417
183	0.2251141803
184	0.2247504131
185	0.2243995988
186	0.2240371674
187	0.2236143838
188	0.2232205301
189	0.2228337583
190	0.2224420946
191	0.2220972859
192	0.22170758
193	0.2213380674
194	0.2209940683
195	0.2206131173
196	0.2202771421
197	0.2199100136
198	0.219555854
199	0.2192227141
200	0.2188400887
201	0.2184585481
202	0.2180944505
203	0.217714625
204	0.2172945138
205	0.2169451152
206	0.2165963489
207	0.2162251094
208	0.2158080279
209	0.2154612498
210	0.2151372573
211	0.2147917463
212	0.2144699512
213	0.2140987251
214	0.2137418939
215	0.2133723317
216	0.213003811
217	0.2126363283
218	0.2122955125
219	0.2118866479
220	0.2115217014
221	0.2111145531
222	0.2107763055
223	0.2104386684
224	0.2100879373
225	0.2097377907
226	0.2093882277
227	0.2090392474
228	0.2086799233
229	0.208278407
230	0.2079591916
231	0.2076024403
232	0.2072564362
233	0.2068578723
234	0.2064602097
235	0.2060634464
236	0.205710586
237	0.2053587125
238	0.2050078227
239	0.2046947291
240	0.2043494271
241	0.2040052154
242	0.2036652067
243	0.2032743214
244	0.2029283824
245	0.2025834077
246	0.2022457687
247	0.2018579034
248	0.2015152031
249	0.201193587
250	0.2008524959
251	0.2005177418
252	0.200133451
253	0.1997500272
254	0.1994313381
255	0.1990938701
256	0.1987573387
257	0.1984260765
258	0.1980953664
259	0.1977608863
260	0.1974457558
261	0.1971128412
262	0.1967845342
263	0.1964534272
264	0.1961232367
265	0.1957963647
266	0.1954676364
267	0.1951024483
268	0.1948080287
269	0.1944982456
270	0.1941263442
271	0.1937552806
272	0.1934323551
273	0.1931123184
274	0.1927433784
275	0.1924210655
276	0.1921152392
277	0.1917483708
278	0.1914282447
279	0.1911091977
280	0.1907444493
281	0.1904413822
282	0.1901239799
283	0.1897612024
284	0.1893992408
285	0.1890836976
286	0.1887690204
287	0.1884552066
288	0.1880960771
289	0.1878139007
290	0.1875023012
291	0.1871897974
292	0.1868778144
293	0.1865813187
294	0.1863018828
295	0.1860064438
296	0.1856985821
297	0.1853890844
298	0.1850952477
299	0.1847867557
300	0.1844813385
301	0.1841738696
302	0.183823116
303	0.1835318804
304	0.1832259939
305	0.1829236472
306	0.1826221267
307	0.1823214297
308	0.1820175606
309	0.181714198
310	0.181376587
311	0.1810895329
312	0.180791831
313	0.1804479347
314	0.1801471882
315	0.1798469429
316	0.179547198
317	0.1792479527
318	0.1789570525
319	0.1786587908
320	0.1783191208
321	0.1780267175
322	0.1777351098
323	0.1773974443
324	0.1771072476
325	0.1768120689
326	0.1765173821
327	0.1762560413
328	0.1759716462
329	0.175688111
330	0.1754106858
331	0.1751337562
332	0.1748418666
333	0.1745504635
334	0.1742749494
335	0.1739947905
336	0.1737117695
337	0.1734222499
338	0.1731487407
339	0.1728757203
340	0.1726031878
341	0.1723229899
342	0.172051471
343	0.1717804375
344	0.1714941368
345	0.1712083132
346	0.170922966
347	0.1706537676
348	0.170377288
349	0.1701015575
350	0.1698338774
351	0.1695848737
352	0.1693022323
353	0.1689807888
354	0.168660066
355	0.1683947085
356	0.1681298254
357	0.167810756
358	0.1675468124
359	0.1672675677
360	0.1669887884
361	0.1667261942
362	0.1664640695
363	0.1661481631
364	0.1658712495
365	0.1656074343
366	0.1653314219
367	0.1650715882
368	0.1647584416
369	0.1644838442
370	0.1642192466
371	0.163907882
372	0.1636347022
373	0.1633619777
374	0.1630995289
375	0.1628276964
376	0.1625191337
377	0.1622638259
378	0.1619933862
379	0.1617389594
380	0.1614693945
381	0.1612002788
382	0.1609316117
383	0.1606789073
384	0.1604111091
385	0.1601437573
386	0.159876851
387	0.1595738792
388	0.1593079228
389	0.1590424096
390	0.1588098352
391	0.1585451522
392	0.1582809102
393	0.157981061
394	0.1577330414
395	0.1574342978
396	0.1571871553
397	0.1569251767
398	0.1566788869
399	0.1564330372
400	0.1561723155
401	0.1559120283
402	0.1556674353
403	0.1554232796
404	0.1551642408
405	0.1549209277
406	0.1546780497
407	0.1544356061
408	0.154193596
409	0.153952019
410	0.1536954323
411	0.1534392733
412	0.1531835411
413	0.1529436
414	0.1527040883
415	0.1524145587
416	0.1521605345
417	0.1519069336
418	0.1516690642
419	0.1514162824
420	0.151163922
421	0.1509272691
422	0.1506757237
423	0.1503900694
424	0.1501546467
425	0.149904389
426	0.1496545483
427	0.1494203297
428	0.1491712958
429	0.148922677
430	0.148640375
431	0.1484077621
432	0.1481604159
433	0.1479134819
434	0.1476669594
435	0.1473870997
436	0.1471414546
437	0.1468962188
438	0.1466513918
439	0.1464069728
440	0.1461629612
441	0.1458860466
442	0.1456429032
443	0.1454149658
444	0.1451726076
445	0.1449306532
446	0.1446891021
447	0.1444479537
448	0.1442072071
449	0.1439815674
450	0.1437563315
451	0.1435167376
452	0.143277543
453	0.1430387471
454	0.1428003492
455	0.1425623487
456	0.1423247448
457	0.1420875369
458	0.1418653141
459	0.1416288719
460	0.1413928238
461	0.1411571691
462	0.1409219071
463	0.1406870373
464	0.1404525589
465	0.1402184713
466	0.1399847739
467	0.1397514659
468	0.1395185468
469	0.1392860159
470	0.1390538726
471	0.1388221161
472	0.1385907459
473	0.1383597613
474	0.1381291617
475	0.1379131788
476	0.1376833235
477	0.1374680865
478	0.1372389731
479	0.1370102414
480	0.1367818911
481	0.1365539212
482	0.1363263314
483	0.1360991208
484	0.135872289
485	0.1356458352
486	0.1354197588
487	0.1351940592
488	0.1349687357
489	0.1347437879
490	0.1345331942
491	0.1343089723
492	0.134085124
493	0.1338616488
494	0.133638546
495	0.1334158151
496	0.1331934554
497	0.1329714663
498	0.1327498472
499	0.1325285975
500	0.1323077165
501	0.1320872037
502	0.1318670583
503	0.1316472799
504	0.1314278678
505	0.1312088213
506	0.13099014
507	0.1307718231
508	0.13055387
509	0.1303362803
510	0.1301190531
511	0.129902188
512	0.1296856844
513	0.1294695416
514	0.129253759
515	0.1290383361
516	0.1288232722
517	0.1286085668
518	0.1283942192
519	0.1281802288
520	0.1279799393
521	0.1277666394
522	0.127553695
523	0.1273411055
524	0.1271288703
525	0.1269169889
526	0.1267054606
527	0.1264942848
528	0.126296675
529	0.1260861805
530	0.1258760369
531	0.1256662435
532	0.1254567998
533	0.1252477051
534	0.1250389589
535	0.1248305607
536	0.1246225098
537	0.1244148056
538	0.1242074476
539	0.1240004352
540	0.1237937678
541	0.1235874448
542	0.1233814658
543	0.12317583
544	0.122970537
545	0.1227655861
546	0.1225609768
547	0.1223567085
548	0.1221527806
549	0.1219491927
550	0.121745944
551	0.1215430341
552	0.1213404624
553	0.1211382283
554	0.1209363312
555	0.1207347707
556	0.1205335461
557	0.1203326568
558	0.1201321024
559	0.1199318823
560	0.1197319958
561	0.1195324425
562	0.1193332217
563	0.119134333
564	0.1189357758
565	0.1187375495
566	0.1185396536
567	0.1183420875
568	0.1181448507
569	0.1179479426
570	0.1177513627
571	0.1175551105
572	0.1173591853
573	0.1171635867
574	0.116968314
575	0.1167733668
576	0.1165787446
577	0.1163844467
578	0.1161904726
579	0.1159968218
580	0.1158034938
581	0.115610488
582	0.1154178038
583	0.1152254408
584	0.1150333984
585	0.1148416761
586	0.1146502733
587	0.1144591895
588	0.1142684242
589	0.1140779768
590	0.1138878469
591	0.1136980338
592	0.1135085371
593	0.1133193562
594	0.1131304906
595	0.1129419398
596	0.1127537032
597	0.1125657804
598	0.1123781708
599	0.1121908738
600	0.112003889
601	0.1118172159
602	0.1116308539
603	0.1114448024
604	0.1112590611
605	0.1110736293
606	0.1108885066
607	0.1107036925
608	0.1105191863
609	0.1103349877
610	0.110151096
611	0.1099675109
612	0.1097842317
613	0.109601258
614	0.1094185892
615	0.1092362249
616	0.1090541645
617	0.1088724076
618	0.1086909536
619	0.108509802
620	0.1083289523
621	0.1081484041
622	0.1079681568
623	0.1077882098
624	0.1076085628
625	0.1074292152
626	0.1072501665
627	0.1070714163
628	0.1068929639
629	0.106714809
630	0.106536951
631	0.1063593894
632	0.1061821237
633	0.1060051535
634	0.1058284783
635	0.1056520975
636	0.1054760107
637	0.1053002173
638	0.1051247169
639	0.1049495091
640	0.1047745932
641	0.1045999689
642	0.1044256356
643	0.1042515929
644	0.1040778403
645	0.1039043772
646	0.1037312033
647	0.1035583179
648	0.1033857207
649	0.1032134112
650	0.1030413888
651	0.1028696532
652	0.1026982038
653	0.1025270401
654	0.1023561617
655	0.1021855681
656	0.1020152588
657	0.1018452334
658	0.1016754914
659	0.1015060322
660	0.1013368555
661	0.1011679607
662	0.1009993475
663	0.1008310152
664	0.1006629635
665	0.1004951919
666	0.1003277
667	0.1001604871
668	0.09999355299
669	0.09982689708
670	0.09966051892
671	0.09949441806
672	0.09932859403
673	0.09916304638
674	0.09899777464
675	0.09883277835
676	0.09866805706
677	0.0985036103
678	0.09833943762
679	0.09817553856
680	0.09801191266
681	0.09784855948
682	0.09768547855
683	0.09752266942
684	0.09736013165
685	0.09719786476
686	0.09703586833
687	0.09687414188
688	0.09671268498
689	0.09655149718
690	0.09639057802
691	0.09622992706
692	0.09606954385
693	0.09590942795
694	0.09574957891
695	0.09558999628
696	0.09543067962
697	0.09527162849
698	0.09511284245
699	0.09495432105
