iter	Passed	Remaining
0	56	56528
1	56	28319
2	56	18881
3	56	14171
4	56	11338
5	57	9448
6	57	8097
7	57	7097
8	57	6309
9	57	5678
10	57	5169
11	57	4744
12	57	4377
13	57	4065
14	57	3794
15	57	3558
16	57	3353
17	58	3167
18	58	3001
19	58	2852
20	58	2717
21	58	2594
22	58	2481
23	58	2378
24	58	2284
25	58	2197
26	58	2118
27	58	2044
28	58	1973
29	58	1906
30	59	1845
31	59	1788
32	59	1738
33	59	1687
34	59	1639
35	59	1593
36	59	1550
37	59	1511
38	59	1472
39	59	1436
40	59	1401
41	60	1371
42	60	1339
43	60	1309
44	60	1280
45	60	1253
46	60	1227
47	60	1203
48	60	1178
49	60	1155
50	60	1132
51	60	1110
52	60	1089
53	61	1069
54	61	1050
55	61	1031
56	61	1013
57	61	996
58	61	979
59	61	963
60	61	947
61	61	933
62	61	919
63	61	904
64	61	890
65	61	877
66	62	863
67	62	851
68	62	839
69	62	827
70	62	816
71	62	804
72	62	793
73	62	782
74	62	772
75	62	762
76	62	752
77	62	742
78	62	733
79	62	723
80	63	715
81	63	706
82	63	698
83	63	690
84	63	682
85	63	674
86	63	666
87	63	659
88	63	652
89	63	644
90	63	637
91	63	630
92	63	623
93	64	618
94	64	612
95	64	606
96	64	600
97	64	594
98	64	588
99	64	582
100	64	576
101	64	571
102	65	566
103	65	561
104	65	555
105	65	551
106	65	545
107	65	540
108	65	537
109	65	532
110	65	528
111	66	523
112	66	519
113	66	514
114	66	510
115	66	506
116	66	501
117	66	497
118	66	493
119	66	489
120	66	484
121	66	480
122	66	477
123	67	473
124	67	469
125	67	465
126	67	461
127	67	458
128	67	454
129	67	451
130	67	447
131	67	444
132	67	440
133	67	437
134	67	434
135	67	431
136	68	428
137	68	425
138	68	422
139	68	419
140	68	415
141	68	412
142	68	409
143	68	406
144	68	403
145	68	401
146	68	398
147	68	395
148	68	392
149	68	389
150	68	387
151	69	384
152	69	382
153	69	380
154	69	377
155	69	375
156	69	372
157	69	370
158	69	367
159	69	365
160	69	363
161	69	361
162	69	358
163	69	356
164	70	354
165	70	352
166	70	350
167	70	348
168	70	345
169	70	343
170	70	341
171	70	340
172	70	338
173	70	336
174	70	334
175	71	332
176	71	330
177	71	328
178	71	326
179	71	325
180	71	323
181	71	321
182	71	319
183	71	318
184	71	316
185	71	314
186	72	313
187	72	311
188	72	309
189	72	307
190	72	306
191	72	304
192	72	303
193	72	301
194	72	300
195	72	298
196	72	297
197	73	295
198	73	294
199	73	292
200	73	291
201	73	290
202	73	288
203	73	286
204	73	285
205	73	284
206	73	283
207	74	281
208	74	280
209	74	279
210	74	277
211	74	276
212	74	275
213	74	274
214	74	272
215	74	271
216	74	270
217	75	269
218	75	267
219	75	266
220	75	265
221	75	264
222	75	263
223	75	262
224	75	260
225	75	260
226	75	258
227	76	257
228	76	256
229	76	255
230	76	254
231	76	252
232	76	251
233	76	250
234	76	249
235	76	248
236	76	247
237	76	245
238	76	244
239	76	243
240	77	242
241	77	241
242	77	240
243	77	239
244	77	238
245	77	237
246	77	236
247	77	235
248	77	234
249	77	232
250	77	232
251	77	231
252	77	229
253	77	229
254	78	228
255	78	227
256	78	226
257	78	225
258	78	224
259	78	223
260	78	222
261	78	221
262	78	220
263	78	220
264	78	219
265	79	218
266	79	217
267	79	216
268	79	215
269	79	214
270	79	213
271	79	213
272	79	212
273	79	211
274	79	210
275	79	209
276	80	208
277	80	208
278	80	207
279	80	206
280	80	205
281	80	204
282	80	203
283	80	203
284	80	202
285	80	201
286	80	200
287	80	199
288	80	199
289	81	198
290	81	197
291	81	197
292	81	196
293	81	195
294	81	194
295	81	194
296	81	193
297	81	192
298	81	191
299	81	191
300	82	190
301	82	190
302	82	189
303	82	188
304	82	187
305	82	187
306	82	186
307	82	185
308	82	185
309	82	184
310	82	183
311	83	183
312	83	182
313	83	181
314	83	181
315	83	180
316	84	181
317	84	181
318	84	180
319	84	179
320	84	179
321	84	178
322	84	177
323	84	177
324	85	176
325	85	175
326	85	175
327	85	174
328	85	174
329	85	173
330	85	173
331	85	172
332	85	171
333	85	171
334	85	170
335	86	170
336	86	169
337	86	168
338	86	168
339	86	167
340	86	166
341	86	166
342	86	165
343	86	165
344	86	164
345	86	164
346	86	163
347	87	163
348	87	162
349	87	162
350	87	161
351	87	160
352	87	160
353	87	159
354	87	159
355	87	158
356	87	158
357	87	157
358	88	157
359	88	156
360	88	156
361	88	155
362	88	155
363	88	154
364	88	154
365	88	153
366	88	152
367	88	152
368	88	151
369	88	151
370	88	150
371	89	150
372	89	149
373	89	149
374	89	148
375	89	148
376	89	147
377	89	147
378	89	146
379	89	146
380	89	146
381	90	145
382	90	145
383	90	144
384	90	144
385	90	143
386	90	143
387	90	142
388	90	142
389	90	141
390	90	141
391	90	140
392	90	140
393	91	139
394	91	139
395	91	139
396	91	138
397	91	138
398	91	137
399	91	137
400	91	136
401	91	136
402	91	136
403	91	135
